<DATE>;<TIME>;<CLOSE>
20170320;100000;51.4200000
20170320;110000;51.4700000
20170320;120000;51.0700000
20170320;130000;51.2400000
20170320;140000;51.2600000
20170320;150000;51.0700000
20170320;160000;51.3000000
20170320;170000;51.7400000
20170320;180000;51.5400000
20170320;190000;51.6700000
20170320;200000;51.7300000
20170320;210000;51.6600000
20170320;220000;51.6700000
20170320;230000;51.6600000
20170321;100000;52.0000000
20170321;110000;52.1000000
20170321;120000;52.0200000
20170321;130000;51.9800000
20170321;140000;52.0100000
20170321;150000;51.7000000
20170321;160000;51.7200000
20170321;170000;51.5100000
20170321;180000;51.1500000
20170321;190000;51.1100000
20170321;200000;50.8600000
20170321;210000;51.0600000
20170321;220000;50.9400000
20170321;230000;50.9300000
20170322;100000;50.6400000
20170322;110000;50.5200000
20170322;120000;50.2700000
20170322;130000;50.2200000
20170322;140000;50.2600000
20170322;150000;50.2800000
20170322;160000;50.2700000
20170322;170000;50.1300000
20170322;180000;50.5300000
20170322;190000;50.4700000
20170322;200000;50.7800000
20170322;210000;50.7000000
20170322;220000;50.7300000
20170322;230000;50.7300000
20170323;100000;50.8600000
20170323;110000;50.7500000
20170323;120000;51.0300000
20170323;130000;50.9600000
20170323;140000;50.8100000
20170323;150000;50.5200000
20170323;160000;50.4100000
20170323;170000;50.4800000
20170323;180000;50.5900000
20170323;190000;50.6900000
20170323;200000;50.6400000
20170323;210000;50.6300000
20170323;220000;50.5400000
20170323;230000;50.5400000
20170324;100000;50.7000000
20170324;110000;50.6800000
20170324;120000;50.9700000
20170324;130000;50.7800000
20170324;140000;50.7900000
20170324;150000;50.7200000
20170324;160000;50.6700000
20170324;170000;50.6100000
20170324;180000;50.6500000
20170324;190000;50.6000000
20170324;200000;50.7500000
20170324;210000;50.8700000
20170324;220000;50.9200000
20170324;230000;51.0300000
20170327;100000;50.5300000
20170327;110000;50.6100000
20170327;120000;50.5300000
20170327;130000;50.5700000
20170327;140000;50.5500000
20170327;150000;50.4400000
20170327;160000;50.2600000
20170327;170000;50.4100000
20170327;180000;50.7600000
20170327;190000;50.7200000
20170327;200000;50.6400000
20170327;210000;50.7600000
20170327;220000;50.7900000
20170327;230000;50.7900000
